2019-06-23 00:15:00.008  INFO 10288 --- [scheduling-1] mailJob$$EnhancerBySpringCGLIB$$43ab333d : -----------Starting Email job----------
2019-06-23 00:15:00.048  INFO 10288 --- [scheduling-1] mailJob$$EnhancerBySpringCGLIB$$43ab333d : Email back-up file name: email-error-backup.data
2019-06-23 00:15:00.049  INFO 10288 --- [scheduling-1] mailJob$$EnhancerBySpringCGLIB$$43ab333d : -----------End Email job----------
2019-06-23 00:49:21.490  INFO 10288 --- [RMI TCP Connection(5)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2019-06-23 00:49:21.514  INFO 10288 --- [RMI TCP Connection(5)-127.0.0.1] o.s.s.c.ThreadPoolTaskScheduler          : Shutting down ExecutorService 'taskScheduler'
2019-06-23 00:49:21.519  INFO 10288 --- [RMI TCP Connection(5)-127.0.0.1] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-06-23 00:49:35.290  INFO 7176 --- [main] org.rainbow.finance.RainbowApplication   : Starting RainbowApplication on Anish with PID 7176 (C:\Users\Amiti\git\repository\work-holic\rainbow\target\classes started by Amiti in C:\Users\Amiti\git\repository\work-holic\rainbow)
2019-06-23 00:49:35.295  INFO 7176 --- [main] org.rainbow.finance.RainbowApplication   : No active profile set, falling back to default profiles: default
2019-06-23 00:49:37.249  INFO 7176 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2019-06-23 00:49:37.287  INFO 7176 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-06-23 00:49:37.288  INFO 7176 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.16]
2019-06-23 00:49:37.297  INFO 7176 --- [main] o.a.catalina.core.AprLifecycleListener   : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jre1.8.0_162\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:/Program Files/Java/jre1.8.0_162/bin/server;C:/Program Files/Java/jre1.8.0_162/bin;C:/Program Files/Java/jre1.8.0_162/lib/amd64;C:\app\Amiti\virtual\product\12.2.0\dbhome_1\bin;C:\ProgramData\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files\TortoiseSVN\bin;C:\Program Files\Java\jdk1.8.0_162\bin;C:\WINDOWS\System32\OpenSSH\;C:\Python27;C:\Python27\Scripts;C:\Program Files (x86)\GnuWin32\bin;C:\Program Files\SlikSvn\bin;E:\oc;C:\apache-maven-3.5.2\bin;D:\jboss-eap-6.4;C:\Program Files\nodejs\;C:\Ruby25-x64\bin;C:\Users\Amiti\AppData\Local\Microsoft\WindowsApps;C:\Program Files (x86)\SSH Communications Security\SSH Secure Shell;C:\Program Files\Java\jdk1.8.0_162;C:\Program Files\Java\jdk1.8.0_162\bin\jar.exe;C:\Python27;C:\Python27\Scripts;C:\Program Files (x86)\GnuWin32\bin;C:\Program Files\SlikSvn\bin;E:\oc\oc.exe;C:\apache-maven-3.5.2\bin;D:\jboss-eap-6.4;C:\apache-ant-1.6.5\bin;C:\Users\Amiti\AppData\Local\GitHubDesktop\bin;C:\Users\Amiti\AppData\Roaming\npm;D:\sts-4.1.1.RELEASE;;.]
2019-06-23 00:49:38.181  INFO 7176 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-06-23 00:49:38.182  INFO 7176 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 2834 ms
2019-06-23 00:49:38.332  INFO 7176 --- [main] org.rainbow.finance.configs.AppConfig    : ----------Initializing app custom configuration------------
2019-06-23 00:49:38.333  INFO 7176 --- [main] org.rainbow.finance.configs.AppConfig    : ---App back-up dir backup already exists----
2019-06-23 00:49:38.333  INFO 7176 --- [main] org.rainbow.finance.configs.AppConfig    : ----------App Initialization finished---------
2019-06-23 00:49:38.521  INFO 7176 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-06-23 00:49:38.683  INFO 7176 --- [main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2019-06-23 00:49:38.734  INFO 7176 --- [main] o.s.s.c.ThreadPoolTaskScheduler          : Initializing ExecutorService 'taskScheduler'
2019-06-23 00:49:38.831  INFO 7176 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2019-06-23 00:49:38.837  INFO 7176 --- [main] org.rainbow.finance.RainbowApplication   : Started RainbowApplication in 4.768 seconds (JVM running for 12.409)
2019-06-23 00:49:59.297  INFO 7176 --- [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-06-23 00:49:59.298  INFO 7176 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2019-06-23 00:49:59.311  INFO 7176 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 12 ms
2019-06-23 00:50:41.510  INFO 7176 --- [RMI TCP Connection(3)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2019-06-23 00:50:41.513  INFO 7176 --- [RMI TCP Connection(3)-127.0.0.1] o.s.s.c.ThreadPoolTaskScheduler          : Shutting down ExecutorService 'taskScheduler'
2019-06-23 00:50:41.515  INFO 7176 --- [RMI TCP Connection(3)-127.0.0.1] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-06-23 00:51:49.127  INFO 10456 --- [main] org.rainbow.finance.RainbowApplication   : Starting RainbowApplication on Anish with PID 10456 (C:\Users\Amiti\git\repository\work-holic\rainbow\target\classes started by Amiti in C:\Users\Amiti\git\repository\work-holic\rainbow)
2019-06-23 00:51:49.141  INFO 10456 --- [main] org.rainbow.finance.RainbowApplication   : No active profile set, falling back to default profiles: default
2019-06-23 00:51:51.615  INFO 10456 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2019-06-23 00:51:51.662  INFO 10456 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-06-23 00:51:51.663  INFO 10456 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.16]
2019-06-23 00:51:51.678  INFO 10456 --- [main] o.a.catalina.core.AprLifecycleListener   : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jre1.8.0_162\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:/Program Files/Java/jre1.8.0_162/bin/server;C:/Program Files/Java/jre1.8.0_162/bin;C:/Program Files/Java/jre1.8.0_162/lib/amd64;C:\app\Amiti\virtual\product\12.2.0\dbhome_1\bin;C:\ProgramData\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files\TortoiseSVN\bin;C:\Program Files\Java\jdk1.8.0_162\bin;C:\WINDOWS\System32\OpenSSH\;C:\Python27;C:\Python27\Scripts;C:\Program Files (x86)\GnuWin32\bin;C:\Program Files\SlikSvn\bin;E:\oc;C:\apache-maven-3.5.2\bin;D:\jboss-eap-6.4;C:\Program Files\nodejs\;C:\Ruby25-x64\bin;C:\Users\Amiti\AppData\Local\Microsoft\WindowsApps;C:\Program Files (x86)\SSH Communications Security\SSH Secure Shell;C:\Program Files\Java\jdk1.8.0_162;C:\Program Files\Java\jdk1.8.0_162\bin\jar.exe;C:\Python27;C:\Python27\Scripts;C:\Program Files (x86)\GnuWin32\bin;C:\Program Files\SlikSvn\bin;E:\oc\oc.exe;C:\apache-maven-3.5.2\bin;D:\jboss-eap-6.4;C:\apache-ant-1.6.5\bin;C:\Users\Amiti\AppData\Local\GitHubDesktop\bin;C:\Users\Amiti\AppData\Roaming\npm;D:\sts-4.1.1.RELEASE;;.]
2019-06-23 00:51:51.972  INFO 10456 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-06-23 00:51:51.973  INFO 10456 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 2727 ms
